Aristotle	Q868	-0384	Q6581097
Beauvoir, Simone de	Q7197	1908	Q6581072
Chanakya	Q9045	-0375	Q6581097
Confucius	Q4604	-0552	Q6581097
Descartes, René	Q9191	1596	Q6581097
Freud, Sigmund	Q9215	1856	Q6581097
Hegel, Georg Wilhelm Friedrich	Q9235	1770	Q6581097
Heidegger, Martin	Q48301	1889	Q6581097
Ibn Khaldun	Q9294	1332	Q6581097
Kant, Immanuel	Q9312	1724	Q6581097
Keynes, John Maynard	Q9317	1883	Q6581097
Laozi	Q9333	-0604	Q6581097
Locke, John	Q9353	1632	Q6581097
Machiavelli, Niccolò	Q1399	1469	Q6581097
Marx, Karl	Q9061	1818	Q6581097
Nietzsche, Friedrich	Q9358	1844	Q6581097
Plato	Q859	-0427	Q6581097
Rousseau, Jean-Jacques	Q6527	1712	Q6581097
Sartre, Jean-Paul	Q9364	1905	Q6581097
Sima Qian	Q9372	-0145	Q6581097
Smith, Adam	Q9381	1723	Q6581097
Socrates	Q913	-0470	Q6581097
Voltaire	Q9068	1694	Q6581097
Weber, Max	Q9387	1864	Q6581097
Wittgenstein, Ludwig	Q9391	1889	Q6581097
Zhu Xi	Q9397	1130	Q6581097
Abraham	Q9181		Q6581097
Aquinas, Thomas	Q9438	1225	Q6581097
Augustine of Hippo	Q8018	0354	Q6581097
Buddha	Q9441	-0563	Q6581097
Al-Ghazali	Q9546	1058	Q6581097
Jesus	Q302	-0007	Q6581097
Luther, Martin	Q9554	1483	Q6581097
Moses	Q9077	-1393	Q6581097
Muhammad	Q9458	0570	Q6581097
Nagarjuna	Q171195	0150	Q6581097
Akbar	Q8597	1542	Q6581097
Alexander the Great	Q8409	-0356	Q6581097
Ashoka	Q8589	-0304	Q6581097
Atatürk, Mustafa Kemal	Q5152	1881	Q6581097
Augustus	Q1405	-0063	Q6581097
von Bismarck, Otto	Q8442	1815	Q6581097
Bolívar, Simón	Q8605	1783	Q6581097
Caesar, Julius	Q1048	-0100	Q6581097
Charlemagne	Q3044	0748	Q6581097
Churchill, Winston	Q8016	1874	Q6581097
Constantine the Great	Q8413	0272	Q6581097
Cyrus the Great	Q8423	-0600	Q6581097
de Gaulle, Charles	Q2042	1890	Q6581097
Elizabeth I	Q7207	1533	Q6581072
Gandhi, Mohandas Karamchand	Q1001	1869	Q6581097
Genghis Khan	Q720	1162	Q6581097
Guevara, Che	Q5809	1928	Q6581097
Hitler, Adolf	Q352	1889	Q6581097
Joan of Arc	Q7226	1412	Q6581072
King, Martin Luther, Jr.	Q8027	1929	Q6581097
Lenin, Vladimir	Q1394	1870	Q6581097
Lincoln, Abraham	Q91	1809	Q6581097
Louis XIV	Q7742	1638	Q6581097
Luxemburg, Rosa	Q7231	1871	Q6581072
Napoleon	Q517	1769	Q6581097
Mandela, Nelson	Q8023	1918	Q6581097
Mao Zedong	Q5816	1893	Q6581097
Nehru, Jawaharlal	Q1047	1889	Q6581097
Nkrumah, Kwame	Q8620	1909	Q6581097
Peter the Great	Q8479	1672	Q6581097
Qin Shi Huang	Q7192	-0259	Q6581097
Roosevelt, Franklin D.	Q8007	1882	Q6581097
Saladin	Q8581	1138	Q6581097
Stalin, Joseph	Q855	1878	Q6581097
Suleiman the Magnificent	Q8474	1494	Q6581097
Sun Yat-sen	Q8573	1866	Q6581097
Tamerlane	Q8462	1336	Q6581097
Umar	Q8467	0586	Q6581097
Washington, George	Q23	1732	Q6581097
Archimedes	Q8739	-0287	Q6581097
Avicenna	Q8011	0980	Q6581097
Berners-Lee, Tim	Q80	1955	Q6581097
Brahmagupta	Q202943	0598	Q6581097
Copernicus, Nicolaus	Q619	1473	Q6581097
Curie, Marie	Q7186	1867	Q6581072
Darwin, Charles	Q1035	1809	Q6581097
Edison, Thomas	Q8743	1847	Q6581097
Einstein, Albert	Q937	1879	Q6581097
Euclid	Q8747	-0333	Q6581097
Euler, Leonhard	Q7604	1707	Q6581097
Faraday, Michael	Q8750	1791	Q6581097
Fermi, Enrico	Q8753	1901	Q6581097
Ford, Henry	Q8768	1863	Q6581097
Galen	Q8778	0200	Q6581097
Galileo Galilei	Q307	1564	Q6581097
Gauss, Carl Friedrich	Q6722	1777	Q6581097
Gutenberg, Johannes	Q8958	1400	Q6581097
Hilbert, David	Q41585	1862	Q6581097
Joule, James Prescott	Q8962	1818	Q6581097
Kepler, Johannes	Q8963	1571	Q6581097
al-Khwarizmi, Muhammad ibn Musa	Q9038	0750	Q6581097
Leibniz, Gottfried Wilhelm	Q9047	1646	Q6581097
Linnaeus, Carl	Q1043	1707	Q6581097
Maxwell, James Clerk	Q9095	1831	Q6581097
Mendeleev, Dmitri	Q9106	1834	Q6581097
Newton, Sir Isaac	Q935	1642	Q6581097
Pasteur, Louis	Q529	1822	Q6581097
Planck, Max	Q9021	1858	Q6581097
Rutherford, Ernest	Q9123	1871	Q6581097
Schrödinger, Erwin	Q9130	1887	Q6581097
Tesla, Nikola	Q9036	1856	Q6581097
Turing, Alan	Q7251	1912	Q6581097
Watt, James	Q9041	1736	Q6581097
Le Corbusier	Q4724	1887	Q6581097
Dalí, Salvador	Q5577	1904	Q6581097
Dürer, Albrecht	Q5580	1471	Q6581097
Gogh, Vincent van	Q5582	1853	Q6581097
Goya, Francisco	Q5432	1746	Q6581097
Hokusai	Q5586	1760	Q6581097
Kahlo, Frida	Q5588	1907	Q6581072
Leonardo da Vinci	Q762	1452	Q6581097
Matisse, Henri	Q5589	1869	Q6581097
Michelangelo	Q5592	1475	Q6581097
Picasso, Pablo	Q5593	1881	Q6581097
Raphael	Q5597	1483	Q6581097
Rembrandt	Q5598	1606	Q6581097
Rubens, Peter Paul	Q5599	1577	Q6581097
Sinan, Mimar	Q5600	1490	Q6581097
Velázquez, Diego	Q297	1599	Q6581097
Warhol, Andy	Q5603	1928	Q6581097
Wright, Frank Lloyd	Q5604	1867	Q6581097
Armstrong, Louis	Q1779	1901	Q6581097
Bach, Johann Sebastian	Q1339	1685	Q6581097
Beethoven, Ludwig van	Q255	1770	Q6581097
Brahms, Johannes	Q7294	1833	Q6581097
Chopin, Frédéric	Q1268	1810	Q6581097
Dvořák, Antonín	Q7298	1841	Q6581097
Handel, Georg Frideric	Q7302	1685	Q6581097
Haydn, Joseph	Q7349	1732	Q6581097
Jackson, Michael	Q2831	1958	Q6581097
Kulthum, Umm	Q1110560	1898	Q6581072
Mahler, Gustav	Q7304	1860	Q6581097
Mozart, Wolfgang Amadeus	Q254	1756	Q6581097
Palestrina, Giovanni Pierluigi da	Q179277	1525	Q6581097
Puccini, Giacomo	Q7311	1858	Q6581097
Schubert, Franz	Q7312	1797	Q6581097
Stravinsky, Igor	Q7314	1882	Q6581097
Tchaikovsky, Petr	Q7315	1840	Q6581097
Verdi, Giuseppe	Q7317	1813	Q6581097
Vivaldi, Antonio	Q1340	1678	Q6581097
Wagner, Richard	Q1511	1813	Q6581097
Bergman, Ingmar	Q7546	1918	Q6581097
Bernhardt, Sarah	Q4605	1844	Q6581072
Chaplin, Charlie	Q882	1889	Q6581097
Dietrich, Marlene	Q4612	1901	Q6581072
Disney, Walt	Q8704	1901	Q6581097
Eisenstein, Sergei	Q8003	1898	Q6581097
Fellini, Federico	Q7371	1920	Q6581097
Hitchcock, Alfred	Q7374	1899	Q6581097
Kubrick, Stanley	Q2001	1928	Q6581097
Kurosawa, Akira	Q8006	1910	Q6581097
Monroe, Marilyn	Q4616	1926	Q6581072
Ray, Satyajit	Q8873	1921	Q6581097
Abu Nuwas	Q5670	0756	Q6581097
Andersen, Hans Christian	Q5673	1805	Q6581097
Austen, Jane	Q36322	1775	Q6581072
Bashō	Q5676	1644	Q6581097
Borges, Jorge Luis	Q909	1899	Q6581097
Byron, George	Q5679	1788	Q6581097
Cervantes, Miguel de	Q5682	1547	Q6581097
Chaucer, Geoffrey	Q5683	1343	Q6581097
Chekhov, Anton	Q5685	1860	Q6581097
Dante Alighieri	Q1067	1265	Q6581097
Dickens, Charles	Q5686	1812	Q6581097
Dostoyevsky, Fyodor	Q991	1821	Q6581097
García Márquez, Gabriel	Q5878	1927	Q6581097
Goethe, Johann Wolfgang von	Q5879	1749	Q6581097
Hafez	Q6240	1326	Q6581097
Homer	Q6691	-0900	Q6581097
Hugo, Victor	Q535	1802	Q6581097
Joyce, James	Q6882	1882	Q6581097
Kafka, Franz	Q905	1883	Q6581097
Kālidāsa	Q7011		Q6581097
Li Bai	Q7071	0701	Q6581097
Naguib Mahfouz	Q7176	1911	Q6581097
Molière	Q687	1622	Q6581097
Ovid	Q7198	-0043	Q6581097
Proust, Marcel	Q7199	1871	Q6581097
Pushkin, Alexander	Q7200	1799	Q6581097
Shakespeare, William	Q692	1564	Q6581097
Sophocles	Q7235	-0496	Q6581097
Tagore, Rabindranath	Q7241	1861	Q6581097
Tolstoy, Leo	Q7243	1828	Q6581097
Twain, Mark	Q7245	1835	Q6581097
Virgil	Q1398	-0070	Q6581097
Amundsen, Roald	Q926	1872	Q6581097
Armstrong, Neil	Q1615	1930	Q6581097
Cartier, Jacques	Q7321	1491	Q6581097
Columbus, Christopher	Q7322	1451	Q6581097
Cook, James	Q7324	1728	Q6581097
Cortés, Hernán	Q7326	1485	Q6581097
Gagarin, Yuri	Q7327	1934	Q6581097
da Gama, Vasco	Q7328	1469	Q6581097
Ibn Battuta	Q7331	1304	Q6581097
Magellan, Ferdinand	Q1496	1480	Q6581097
Polo, Marco	Q6101	1254	Q6581097
Zheng He	Q7333	1371	Q6581097
